                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    116,                0.49881,                0.44005,                  1.043,                0.95874,                0.93012,                0.97463,                0.89346,                0.42636,                0.32164,                0.96077,              0.0071538,              0.0071538,              0.0071538
                    117,                0.49682,                0.44009,                 1.0385,                0.96907,                0.93745,                 0.9738,                0.89166,                0.43255,                0.31761,                0.96264,               0.007129,               0.007129,               0.007129
                    118,                0.49612,                0.43281,                 1.0354,                0.94973,                0.94149,                0.97186,                0.89163,                0.42273,                0.32588,                0.96385,              0.0071042,              0.0071042,              0.0071042
                    119,                0.49742,                 0.4297,                  1.035,                0.97149,                 0.9213,                0.97489,                0.89754,                0.41948,                0.32708,                0.96022,              0.0070795,              0.0070795,              0.0070795
                    120,                0.49286,                0.43783,                 1.0365,                0.96992,                0.93651,                0.97439,                0.89852,                0.42205,                0.31189,                0.95985,              0.0070547,              0.0070547,              0.0070547
                    121,                0.48439,                 0.4268,                 1.0324,                0.96848,                0.92975,                0.97421,                0.89004,                0.42906,                 0.3179,                0.96416,                0.00703,                0.00703,                0.00703
                    122,                0.48997,                0.42872,                  1.036,                0.97149,                0.92305,                0.97522,                0.89537,                0.42599,                0.31186,                0.95847,              0.0070053,              0.0070053,              0.0070053
                    123,                0.50143,                0.44322,                  1.038,                0.97691,                0.92945,                0.97805,                0.89946,                0.42569,                0.30513,                0.96023,              0.0069805,              0.0069805,              0.0069805
                    124,                0.49629,                0.43076,                 1.0338,                0.97564,                0.93313,                 0.9754,                0.89573,                0.43458,                0.31142,                0.97333,              0.0069558,              0.0069558,              0.0069558
                    125,                  0.491,                0.43674,                 1.0365,                0.96962,                0.92951,                0.97456,                0.89378,                0.42456,                0.31458,                0.96206,               0.006931,               0.006931,               0.006931
                    126,                0.49189,                0.42427,                  1.037,                0.97279,                0.92856,                0.97732,                0.89602,                0.43086,                0.31441,                 0.9693,              0.0069063,              0.0069063,              0.0069063
                    127,                0.48484,                0.42937,                 1.0318,                0.97492,                 0.9149,                0.97379,                 0.8933,                 0.4197,                0.31692,                0.96525,              0.0068815,              0.0068815,              0.0068815
                    128,                0.48733,                0.41794,                 1.0347,                0.95709,                0.94278,                0.97535,                0.89664,                0.42288,                0.31159,                0.96532,              0.0068568,              0.0068568,              0.0068568
                    129,                0.48658,                0.41699,                 1.0353,                0.96845,                0.93637,                 0.9769,                0.89407,                 0.4244,                 0.3036,                0.95851,               0.006832,               0.006832,               0.006832
                    130,                0.48314,                0.42485,                 1.0269,                0.97436,                0.92744,                 0.9751,                0.89103,                0.42794,                0.31232,                0.96453,              0.0068073,              0.0068073,              0.0068073
                    131,                0.48181,                0.41786,                 1.0299,                0.96687,                0.93733,                0.97538,                0.89486,                0.41995,                0.30806,                0.95964,              0.0067825,              0.0067825,              0.0067825
                    132,                0.48601,                0.41909,                 1.0346,                0.96437,                0.93901,                0.97558,                0.89577,                0.42064,                0.31228,                0.96087,              0.0067577,              0.0067577,              0.0067577
                    133,                0.48758,                0.42593,                 1.0315,                 0.9734,                 0.9343,                0.97624,                0.89442,                0.41772,                0.30591,                0.95694,               0.006733,               0.006733,               0.006733
                    134,                0.48144,                0.41684,                 1.0294,                0.96464,                0.93222,                0.97247,                0.89153,                0.42164,                0.31178,                0.96418,              0.0067082,              0.0067082,              0.0067082
                    135,                0.47923,                0.41647,                 1.0256,                 0.9766,                0.92649,                0.97653,                0.89513,                0.41364,                0.30846,                0.95395,              0.0066835,              0.0066835,              0.0066835
                    136,                 0.4817,                0.41423,                 1.0286,                0.97542,                0.92746,                0.97533,                0.89803,                0.41976,                0.30928,                0.95746,              0.0066587,              0.0066587,              0.0066587
                    137,                 0.4839,                0.41333,                  1.023,                0.97685,                0.93029,                0.97621,                0.89728,                0.41585,                0.30073,                0.95295,               0.006634,               0.006634,               0.006634
                    138,                0.47636,                0.41021,                  1.028,                 0.9734,                0.93304,                0.97536,                0.89729,                0.42055,                0.30769,                 0.9579,              0.0066092,              0.0066092,              0.0066092
                    139,                0.47167,                0.40384,                 1.0203,                0.97188,                0.93414,                0.97662,                0.89878,                0.41533,                0.29849,                0.95223,              0.0065845,              0.0065845,              0.0065845
                    140,                0.48062,                0.41828,                 1.0285,                0.96992,                0.93674,                0.97769,                 0.8998,                0.41874,                0.29755,                0.95478,              0.0065598,              0.0065598,              0.0065598
                    141,                0.47875,                 0.4079,                 1.0258,                0.97434,                 0.9289,                0.97717,                0.89935,                0.41755,                0.30608,                 0.9523,               0.006535,               0.006535,               0.006535
                    142,                0.46638,                0.40585,                 1.0227,                0.95819,                0.94717,                0.97865,                0.90145,                0.41146,                0.29668,                0.94879,              0.0065102,              0.0065102,              0.0065102
                    143,                0.47525,                0.40267,                 1.0222,                0.97171,                0.94065,                 0.9769,                0.90116,                0.41391,                0.29779,                 0.9525,              0.0064855,              0.0064855,              0.0064855
                    144,                0.47358,                0.40609,                 1.0219,                0.97786,                0.92757,                0.97553,                0.89698,                0.41601,                0.30037,                0.96131,              0.0064608,              0.0064608,              0.0064608
                    145,                0.47337,                0.40657,                 1.0236,                0.97395,                 0.9327,                 0.9775,                0.89476,                0.41469,                0.29834,                0.95731,               0.006436,               0.006436,               0.006436
                    146,                0.47463,                0.41529,                  1.018,                0.97275,                0.93073,                0.97606,                0.89601,                0.41864,                0.30336,                0.96727,              0.0064112,              0.0064112,              0.0064112
                    147,                0.47404,                0.40864,                  1.026,                 0.9659,                0.93705,                0.97538,                0.89498,                0.41756,                0.30129,                0.96343,              0.0063865,              0.0063865,              0.0063865
                    148,                0.47231,                0.40262,                 1.0239,                0.97544,                 0.9276,                0.97538,                0.90023,                0.41256,                0.31057,                0.95707,              0.0063618,              0.0063618,              0.0063618
                    149,                0.46713,                0.40103,                  1.025,                0.98153,                0.93053,                0.97704,                0.90002,                0.41271,                0.30473,                 0.9545,               0.006337,               0.006337,               0.006337
                    150,                0.47413,                 0.4129,                  1.024,                0.97293,                0.93303,                0.97639,                 0.8993,                0.41066,                0.30305,                0.95451,              0.0063122,              0.0063122,              0.0063122
                    151,                0.46448,                 0.3966,                 1.0209,                0.97424,                0.92954,                0.97503,                0.89826,                0.40888,                0.29832,                0.94812,              0.0062875,              0.0062875,              0.0062875
                    152,                0.46721,                 0.3981,                 1.0173,                 0.9595,                0.93443,                0.97411,                0.89629,                0.40854,                0.30707,                0.95361,              0.0062628,              0.0062628,              0.0062628
                    153,                0.46758,                0.40082,                 1.0225,                0.97652,                0.92769,                 0.9768,                 0.8989,                0.41052,                0.30851,                0.95449,               0.006238,               0.006238,               0.006238
                    154,                0.47051,                0.41176,                 1.0252,                0.97374,                0.94172,                0.98048,                0.90434,                0.40814,                 0.2968,                0.95449,              0.0062132,              0.0062132,              0.0062132
                    155,                0.46447,                0.39339,                   1.02,                0.97483,                0.92745,                0.97816,                0.90366,                    0.4,                0.29474,                0.94539,              0.0061885,              0.0061885,              0.0061885
                    156,                 0.4649,                0.38821,                 1.0168,                0.96247,                0.94313,                0.97718,                0.90023,                0.40494,                0.29491,                0.94758,              0.0061637,              0.0061637,              0.0061637
